repetition_bucket,variability,position_in_workload,source_path,measured_query_name,num_joins_in_user_query,num_joins_in_benchmark_query,redset_query_id
0%-10%,high_variability,24,imdb/benchmarks/job/9c.sql,rbk_0761_job_9c,2,7,776132
0%-10%,high_variability,25,imdb/benchmarks/job/11c.sql,rbk_0690_job_11c,2,7,1001492
0%-10%,high_variability,26,imdb/benchmarks/ceb/9a/ffe8b911dff2616a3cde71e8ed914e363da07b70.sql,rbk_0639_ceb_9a_ffe8b911dff2616a3cde71e8ed914e363da07b70,4,8,1172711
0%-10%,high_variability,27,imdb/benchmarks/job/12b.sql,rbk_0693_job_12b,3,7,1343242
0%-10%,high_variability,28,imdb/benchmarks/ceb/3a/3a998.sql,rbk_0374_ceb_3a_3a998,5,9,1111743
0%-10%,high_variability,29,imdb/benchmarks/job/17c.sql,rbk_0712_job_17c,1,6,1467162
0%-10%,high_variability,30,imdb/benchmarks/ceb/8a/8a97.sql,rbk_0575_ceb_8a_8a97,8,11,1112723
0%-10%,high_variability,31,imdb/benchmarks/ceb/8a/8a96.sql,rbk_0574_ceb_8a_8a96,8,11,1143408
0%-10%,high_variability,32,imdb/benchmarks/job/14b.sql,rbk_0700_job_14b,2,7,748411
0%-10%,high_variability,33,imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,rbk_0194_ceb_10a_ff5392412c047db440be1c25a9368dca0af322a6,1,6,1055493
0%-10%,high_variability,34,imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,rbk_0193_ceb_10a_ff28e87026770d06e47c8133bde907e8f62af5f2,1,6,879068
0%-10%,high_variability,35,imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,rbk_0192_ceb_10a_feb4a84432cbf3c03659dec9f994e45c20117dce,1,6,1010223
0%-10%,high_variability,36,imdb/benchmarks/job/8c.sql,rbk_0757_job_8c,1,6,1393390
0%-10%,high_variability,37,imdb/benchmarks/job/10a.sql,rbk_0685_job_10a,1,6,1298319
0%-10%,high_variability,38,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,1255271
0%-10%,high_variability,39,imdb/benchmarks/ceb/1a/1a997.sql,rbk_0248_ceb_1a_1a997,4,8,1430558
0%-10%,high_variability,40,imdb/benchmarks/job/17b.sql,rbk_0711_job_17b,1,6,1369518
0%-10%,high_variability,41,imdb/benchmarks/job/9b.sql,rbk_0760_job_9b,2,7,1266090
0%-10%,high_variability,42,imdb/benchmarks/job/11b.sql,rbk_0689_job_11b,2,7,1729027
0%-10%,high_variability,43,imdb/benchmarks/job/16b.sql,rbk_0707_job_16b,3,7,1391769
0%-10%,high_variability,44,imdb/benchmarks/ceb/9a/ffad0e794ec5512eba615344b2a1e40529bb66bf.sql,rbk_0638_ceb_9a_ffad0e794ec5512eba615344b2a1e40529bb66bf,4,8,1434200
0%-10%,high_variability,45,imdb/benchmarks/job/12a.sql,rbk_0692_job_12a,3,7,1696141
0%-10%,high_variability,46,imdb/benchmarks/ceb/3a/3a997.sql,rbk_0373_ceb_3a_3a997,5,9,1660158
0%-10%,high_variability,47,imdb/benchmarks/job/17a.sql,rbk_0710_job_17a,1,6,1741903
0%-10%,high_variability,48,imdb/benchmarks/job/8b.sql,rbk_0756_job_8b,1,6,1695800
0%-10%,high_variability,49,imdb/benchmarks/ceb/10a/feab1842e30c452abd391c3326d9e4ff34c6dc11.sql,rbk_0191_ceb_10a_feab1842e30c452abd391c3326d9e4ff34c6dc11,1,6,1411433
0%-10%,high_variability,50,imdb/benchmarks/ceb/8a/8a95.sql,rbk_0573_ceb_8a_8a95,8,11,1632007
0%-10%,high_variability,51,imdb/benchmarks/ceb/8a/8a94.sql,rbk_0572_ceb_8a_8a94,8,11,1446995
0%-10%,high_variability,52,imdb/benchmarks/job/14a.sql,rbk_0699_job_14a,2,7,1105615
0%-10%,high_variability,53,imdb/benchmarks/job/18b.sql,rbk_0717_job_18b,1,6,291378
0%-10%,high_variability,54,imdb/benchmarks/job/18a.sql,rbk_0716_job_18a,1,6,576866
0%-10%,high_variability,55,imdb/benchmarks/job/8a.sql,rbk_0755_job_8a,1,6,326465
0%-10%,high_variability,56,imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,rbk_0190_ceb_10a_fe908e2b6537a8d6acfd277573458dce0e168e28,1,6,28403
0%-10%,high_variability,57,imdb/benchmarks/ceb/10a/fe466f77ec0cd3dca2c428d45227925db297555a.sql,rbk_0189_ceb_10a_fe466f77ec0cd3dca2c428d45227925db297555a,1,6,413308
0%-10%,high_variability,58,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,818076
0%-10%,high_variability,59,imdb/benchmarks/job/16a.sql,rbk_0706_job_16a,3,7,656893
0%-10%,high_variability,60,imdb/benchmarks/ceb/1a/1a996.sql,rbk_0247_ceb_1a_1a996,4,8,594584
0%-10%,high_variability,61,imdb/benchmarks/job/11a.sql,rbk_0688_job_11a,2,7,267946
0%-10%,high_variability,62,imdb/benchmarks/ceb/9a/ff823a84e1f223a23c4c2a0ef194c7058254a6ba.sql,rbk_0637_ceb_9a_ff823a84e1f223a23c4c2a0ef194c7058254a6ba,4,8,786744
0%-10%,high_variability,63,imdb/benchmarks/job/9a.sql,rbk_0759_job_9a,3,7,231055
0%-10%,high_variability,64,imdb/benchmarks/ceb/3a/3a996.sql,rbk_0372_ceb_3a_3a996,5,9,291652
0%-10%,high_variability,65,imdb/benchmarks/ceb/10a/fe2eb3a8d76a12f5a5487e0a328bd294353322ca.sql,rbk_0188_ceb_10a_fe2eb3a8d76a12f5a5487e0a328bd294353322ca,1,6,486433
0%-10%,high_variability,66,imdb/benchmarks/ceb/8a/8a93.sql,rbk_0571_ceb_8a_8a93,8,11,129218
0%-10%,high_variability,67,imdb/benchmarks/ceb/8a/8a92.sql,rbk_0570_ceb_8a_8a92,8,11,497483
0%-10%,high_variability,68,imdb/benchmarks/job/7c.sql,rbk_0754_job_7c,2,7,783316
0%-10%,high_variability,69,imdb/benchmarks/ceb/10a/fde055219af175b5eb19a7dc52449920e4abac50.sql,rbk_0187_ceb_10a_fde055219af175b5eb19a7dc52449920e4abac50,1,6,1346680
0%-10%,high_variability,70,imdb/benchmarks/ceb/10a/fd4b8a0b054d271c165b33f400cbe960df4eaeaf.sql,rbk_0186_ceb_10a_fd4b8a0b054d271c165b33f400cbe960df4eaeaf,1,6,1085325
0%-10%,high_variability,71,imdb/benchmarks/ceb/5a/5a998.sql,rbk_0441_ceb_5a_5a998,5,9,1414092
0%-10%,high_variability,72,imdb/benchmarks/ceb/5a/5a997.sql,rbk_0440_ceb_5a_5a997,5,9,1406054
0%-10%,high_variability,73,imdb/benchmarks/ceb/5a/5a996.sql,rbk_0439_ceb_5a_5a996,5,9,1683493
0%-10%,high_variability,74,imdb/benchmarks/ceb/5a/5a995.sql,rbk_0438_ceb_5a_5a995,5,9,1247386
0%-10%,high_variability,75,imdb/benchmarks/ceb/5a/5a994.sql,rbk_0437_ceb_5a_5a994,5,9,1217926
0%-10%,high_variability,76,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,1338894
0%-10%,high_variability,77,imdb/benchmarks/ceb/1a/1a995.sql,rbk_0246_ceb_1a_1a995,4,8,1314547
0%-10%,high_variability,78,imdb/benchmarks/ceb/10a/fd4595b17e8893f1919f57c23633b6707a56ee56.sql,rbk_0185_ceb_10a_fd4595b17e8893f1919f57c23633b6707a56ee56,1,6,1621502
0%-10%,high_variability,79,imdb/benchmarks/job/7b.sql,rbk_0753_job_7b,2,7,1408145
0%-10%,high_variability,80,imdb/benchmarks/job/7a.sql,rbk_0752_job_7a,3,7,1624413
0%-10%,high_variability,81,imdb/benchmarks/job/12c.sql,rbk_0694_job_12c,2,7,1187321
0%-10%,high_variability,82,imdb/benchmarks/ceb/9a/ff7634f4c6ce256e1c40f35467cba9b349bd0c59.sql,rbk_0636_ceb_9a_ff7634f4c6ce256e1c40f35467cba9b349bd0c59,4,8,1548117
0%-10%,high_variability,83,imdb/benchmarks/job/16b.sql,rbk_0707_job_16b,3,7,1667361
0%-10%,high_variability,84,imdb/benchmarks/ceb/3a/3a995.sql,rbk_0371_ceb_3a_3a995,5,9,1685674
0%-10%,high_variability,85,imdb/benchmarks/ceb/10a/fd26fe6762a3823baca81ef3c51ead7cf3c5e955.sql,rbk_0184_ceb_10a_fd26fe6762a3823baca81ef3c51ead7cf3c5e955,1,6,1225894
0%-10%,high_variability,86,imdb/benchmarks/ceb/8a/8a91.sql,rbk_0569_ceb_8a_8a91,8,11,1046770
0%-10%,high_variability,87,imdb/benchmarks/ceb/8a/8a90.sql,rbk_0568_ceb_8a_8a90,8,11,1379277
0%-10%,high_variability,88,imdb/benchmarks/job/11a.sql,rbk_0688_job_11a,2,7,1238929
0%-10%,low_variability,1,imdb/benchmarks/ceb/8a/8a99.sql,rbk_0577_ceb_8a_8a99,4,11,479366
0%-10%,low_variability,2,imdb/benchmarks/ceb/8a/8a98.sql,rbk_0576_ceb_8a_8a98,4,11,418244
0%-10%,low_variability,3,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,2,6,497891
0%-10%,low_variability,4,imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,rbk_0195_ceb_10a_ff7e187ff73ce227ca49c7b4791037f242cdbde6,2,6,292180
0%-10%,mid_variability,1,imdb/benchmarks/ceb/3a/3a999.sql,rbk_0375_ceb_3a_3a999,2,9,20573
0%-10%,mid_variability,2,imdb/benchmarks/ceb/3a/3a998.sql,rbk_0374_ceb_3a_3a998,2,9,227927
0%-10%,mid_variability,3,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,160851
0%-10%,mid_variability,4,imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,rbk_0195_ceb_10a_ff7e187ff73ce227ca49c7b4791037f242cdbde6,1,6,71892
0%-10%,mid_variability,5,imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,rbk_0195_ceb_10a_ff7e187ff73ce227ca49c7b4791037f242cdbde6,1,6,227240
0%-10%,mid_variability,6,imdb/benchmarks/ceb/8a/8a99.sql,rbk_0577_ceb_8a_8a99,3,11,160671
0%-10%,mid_variability,7,imdb/benchmarks/ceb/8a/8a98.sql,rbk_0576_ceb_8a_8a98,3,11,227114
0%-10%,mid_variability,8,imdb/benchmarks/ceb/8a/8a97.sql,rbk_0575_ceb_8a_8a97,3,11,161088
0%-10%,mid_variability,9,imdb/benchmarks/ceb/8a/8a96.sql,rbk_0574_ceb_8a_8a96,3,11,20145
0%-10%,mid_variability,10,imdb/benchmarks/ceb/3a/3a997.sql,rbk_0373_ceb_3a_3a997,2,9,159678
0%-10%,mid_variability,11,imdb/benchmarks/ceb/8a/8a95.sql,rbk_0573_ceb_8a_8a95,3,11,227686
0%-10%,mid_variability,12,imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,rbk_0194_ceb_10a_ff5392412c047db440be1c25a9368dca0af322a6,1,6,71785
0%-10%,mid_variability,13,imdb/benchmarks/ceb/5a/5a999.sql,rbk_0442_ceb_5a_5a999,2,9,228286
0%-10%,mid_variability,14,imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,rbk_0193_ceb_10a_ff28e87026770d06e47c8133bde907e8f62af5f2,1,6,160236
0%-10%,mid_variability,15,imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,rbk_0192_ceb_10a_feb4a84432cbf3c03659dec9f994e45c20117dce,1,6,160769
0%-10%,mid_variability,16,imdb/benchmarks/ceb/5a/5a998.sql,rbk_0441_ceb_5a_5a998,2,9,159500
0%-10%,mid_variability,17,imdb/benchmarks/ceb/5a/5a997.sql,rbk_0440_ceb_5a_5a997,2,9,19905
10%-20%,high_variability,1,imdb/benchmarks/job/11d.sql,rbk_0691_job_11d,3,7,181832
10%-20%,high_variability,2,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,254089
10%-20%,high_variability,3,imdb/benchmarks/ceb/10a/ffa89001847857aea332203f58817579edf17efa.sql,rbk_0196_ceb_10a_ffa89001847857aea332203f58817579edf17efa,1,6,487140
10%-20%,high_variability,4,imdb/benchmarks/job/17f.sql,rbk_0715_job_17f,1,6,241304
10%-20%,high_variability,5,imdb/benchmarks/job/8d.sql,rbk_0758_job_8d,2,6,495976
10%-20%,high_variability,6,imdb/benchmarks/job/8c.sql,rbk_0757_job_8c,2,6,191187
10%-20%,high_variability,7,imdb/benchmarks/job/8b.sql,rbk_0756_job_8b,2,6,292655
10%-20%,high_variability,8,imdb/benchmarks/job/8a.sql,rbk_0755_job_8a,2,6,262022
10%-20%,high_variability,9,imdb/benchmarks/job/10c.sql,rbk_0687_job_10c,1,6,474728
10%-20%,high_variability,10,imdb/benchmarks/job/10b.sql,rbk_0686_job_10b,1,6,454563
10%-20%,high_variability,11,imdb/benchmarks/job/18c.sql,rbk_0718_job_18c,2,6,196217
10%-20%,high_variability,12,imdb/benchmarks/job/18b.sql,rbk_0717_job_18b,2,6,242136
10%-20%,high_variability,13,imdb/benchmarks/job/18a.sql,rbk_0716_job_18a,2,6,144778
10%-20%,high_variability,14,imdb/benchmarks/job/10a.sql,rbk_0685_job_10a,2,6,77810
10%-20%,high_variability,15,imdb/benchmarks/ceb/10a/ff7e187ff73ce227ca49c7b4791037f242cdbde6.sql,rbk_0195_ceb_10a_ff7e187ff73ce227ca49c7b4791037f242cdbde6,2,6,343135
10%-20%,high_variability,16,imdb/benchmarks/job/17e.sql,rbk_0714_job_17e,2,6,55458
10%-20%,high_variability,17,imdb/benchmarks/ceb/10a/ff5392412c047db440be1c25a9368dca0af322a6.sql,rbk_0194_ceb_10a_ff5392412c047db440be1c25a9368dca0af322a6,2,6,359987
10%-20%,high_variability,18,imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,rbk_0193_ceb_10a_ff28e87026770d06e47c8133bde907e8f62af5f2,2,6,432261
10%-20%,high_variability,19,imdb/benchmarks/ceb/10a/ff28e87026770d06e47c8133bde907e8f62af5f2.sql,rbk_0193_ceb_10a_ff28e87026770d06e47c8133bde907e8f62af5f2,2,6,474829
10%-20%,high_variability,20,imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,rbk_0192_ceb_10a_feb4a84432cbf3c03659dec9f994e45c20117dce,2,6,77690
10%-20%,high_variability,21,imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,rbk_0192_ceb_10a_feb4a84432cbf3c03659dec9f994e45c20117dce,2,6,196386
10%-20%,high_variability,22,imdb/benchmarks/ceb/10a/feb4a84432cbf3c03659dec9f994e45c20117dce.sql,rbk_0192_ceb_10a_feb4a84432cbf3c03659dec9f994e45c20117dce,2,6,216049
10%-20%,high_variability,23,imdb/benchmarks/job/16d.sql,rbk_0709_job_16d,3,7,472267
10%-20%,high_variability,24,imdb/benchmarks/ceb/3a/3a999.sql,rbk_0375_ceb_3a_3a999,7,9,536733
10%-20%,high_variability,25,imdb/benchmarks/ceb/3a/3a998.sql,rbk_0374_ceb_3a_3a998,7,9,159822
10%-20%,high_variability,26,imdb/benchmarks/ceb/10a/feab1842e30c452abd391c3326d9e4ff34c6dc11.sql,rbk_0191_ceb_10a_feab1842e30c452abd391c3326d9e4ff34c6dc11,1,6,477776
10%-20%,high_variability,27,imdb/benchmarks/ceb/3a/3a998.sql,rbk_0374_ceb_3a_3a998,7,9,365926
10%-20%,high_variability,28,imdb/benchmarks/ceb/3a/3a997.sql,rbk_0373_ceb_3a_3a997,7,9,308430
10%-20%,high_variability,29,imdb/benchmarks/ceb/3a/3a996.sql,rbk_0372_ceb_3a_3a996,7,9,186648
10%-20%,high_variability,30,imdb/benchmarks/ceb/3a/3a997.sql,rbk_0373_ceb_3a_3a997,7,9,170195
10%-20%,high_variability,31,imdb/benchmarks/ceb/3a/3a997.sql,rbk_0373_ceb_3a_3a997,7,9,539462
10%-20%,high_variability,32,imdb/benchmarks/ceb/1a/1a999.sql,rbk_0250_ceb_1a_1a999,5,8,111022
10%-20%,high_variability,33,imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,rbk_0640_ceb_9a_fff673d500e25c73a6e054e9a4e60a31e633ba47,6,8,385788
10%-20%,high_variability,34,imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,rbk_0640_ceb_9a_fff673d500e25c73a6e054e9a4e60a31e633ba47,6,8,100249
10%-20%,high_variability,35,imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,rbk_0640_ceb_9a_fff673d500e25c73a6e054e9a4e60a31e633ba47,6,8,83738
10%-20%,high_variability,36,imdb/benchmarks/ceb/9a/fff673d500e25c73a6e054e9a4e60a31e633ba47.sql,rbk_0640_ceb_9a_fff673d500e25c73a6e054e9a4e60a31e633ba47,6,8,469169
10%-20%,high_variability,37,imdb/benchmarks/ceb/3a/3a995.sql,rbk_0371_ceb_3a_3a995,7,9,274234
10%-20%,high_variability,38,imdb/benchmarks/ceb/8a/8a99.sql,rbk_0577_ceb_8a_8a99,11,11,242466
10%-20%,high_variability,39,imdb/benchmarks/ceb/5a/5a999.sql,rbk_0442_ceb_5a_5a999,7,9,259994
10%-20%,high_variability,40,imdb/benchmarks/ceb/5a/5a998.sql,rbk_0441_ceb_5a_5a998,7,9,335312
10%-20%,high_variability,41,imdb/benchmarks/ceb/9b/feae2fd4e41ac4a2d94f9d77bf9d0106a7397871.sql,rbk_0684_ceb_9b_feae2fd4e41ac4a2d94f9d77bf9d0106a7397871,5,8,553910
10%-20%,high_variability,42,imdb/benchmarks/ceb/9b/fe90798b764e94d76a80a8426b0621a9e29a418a.sql,rbk_0683_ceb_9b_fe90798b764e94d76a80a8426b0621a9e29a418a,5,8,254247
10%-20%,high_variability,43,imdb/benchmarks/job/17d.sql,rbk_0713_job_17d,1,6,62758
10%-20%,high_variability,44,imdb/benchmarks/job/17c.sql,rbk_0712_job_17c,1,6,231309
10%-20%,high_variability,45,imdb/benchmarks/job/17b.sql,rbk_0711_job_17b,1,6,329918
10%-20%,high_variability,46,imdb/benchmarks/job/17b.sql,rbk_0711_job_17b,1,6,61462
10%-20%,high_variability,47,imdb/benchmarks/ceb/10a/fe908e2b6537a8d6acfd277573458dce0e168e28.sql,rbk_0190_ceb_10a_fe908e2b6537a8d6acfd277573458dce0e168e28,1,6,455139
10%-20%,high_variability,48,imdb/benchmarks/job/17a.sql,rbk_0710_job_17a,1,6,440527
10%-20%,high_variability,49,imdb/benchmarks/ceb/10a/fe466f77ec0cd3dca2c428d45227925db297555a.sql,rbk_0189_ceb_10a_fe466f77ec0cd3dca2c428d45227925db297555a,1,6,194302
10%-20%,high_variability,50,imdb/benchmarks/ceb/10a/fe2eb3a8d76a12f5a5487e0a328bd294353322ca.sql,rbk_0188_ceb_10a_fe2eb3a8d76a12f5a5487e0a328bd294353322ca,1,6,171597
10%-20%,high_variability,51,imdb/benchmarks/ceb/10a/fde055219af175b5eb19a7dc52449920e4abac50.sql,rbk_0187_ceb_10a_fde055219af175b5eb19a7dc52449920e4abac50,1,6,319133
10%-20%,high_variability,52,imdb/benchmarks/ceb/10a/fd4b8a0b054d271c165b33f400cbe960df4eaeaf.sql,rbk_0186_ceb_10a_fd4b8a0b054d271c165b33f400cbe960df4eaeaf,1,6,438572
10%-20%,high_variability,53,imdb/benchmarks/ceb/10a/fd4595b17e8893f1919f57c23633b6707a56ee56.sql,rbk_0185_ceb_10a_fd4595b17e8893f1919f57c23633b6707a56ee56,1,6,77933
10%-20%,high_variability,54,imdb/benchmarks/ceb/10a/fd26fe6762a3823baca81ef3c51ead7cf3c5e955.sql,rbk_0184_ceb_10a_fd26fe6762a3823baca81ef3c51ead7cf3c5e955,1,6,360493
10%-20%,high_variability,55,imdb/benchmarks/ceb/10a/fd0058725babf4fba5445b0226a9030da31f9aa8.sql,rbk_0183_ceb_10a_fd0058725babf4fba5445b0226a9030da31f9aa8,1,6,376276
10%-20%,high_variability,56,imdb/benchmarks/ceb/10a/fd0058725babf4fba5445b0226a9030da31f9aa8.sql,rbk_0183_ceb_10a_fd0058725babf4fba5445b0226a9030da31f9aa8,1,6,230706
10%-20%,high_variability,57,imdb/benchmarks/ceb/10a/fd4595b17e8893f1919f57c23633b6707a56ee56.sql,rbk_0185_ceb_10a_fd4595b17e8893f1919f57c23633b6707a56ee56,1,6,77721
10%-20%,high_variability,58,imdb/benchmarks/ceb/10a/fce1432c9028f8e313a579905fb3eba9b785179d.sql,rbk_0182_ceb_10a_fce1432c9028f8e313a579905fb3eba9b785179d,1,6,351530
10%-20%,high_variability,59,imdb/benchmarks/ceb/10a/fd0058725babf4fba5445b0226a9030da31f9aa8.sql,rbk_0183_ceb_10a_fd0058725babf4fba5445b0226a9030da31f9aa8,1,6,57586
10%-20%,high_variability,60,imdb/benchmarks/ceb/10a/fcc58742b98426ab3b0c39979914c615637a2207.sql,rbk_0181_ceb_10a_fcc58742b98426ab3b0c39979914c615637a2207,1,6,110170
10%-20%,high_variability,61,imdb/benchmarks/ceb/10a/fcc1ca542628add1264f6a1afcfbe6f7d6bc5b5f.sql,rbk_0180_ceb_10a_fcc1ca542628add1264f6a1afcfbe6f7d6bc5b5f,1,6,498243
10%-20%,high_variability,62,imdb/benchmarks/ceb/10a/fcb7816e4d5887e8a5fd27142974c02491c09833.sql,rbk_0179_ceb_10a_fcb7816e4d5887e8a5fd27142974c02491c09833,1,6,377008
10%-20%,high_variability,63,imdb/benchmarks/ceb/10a/fc64416adca80a8f03d6e1e19d8088d3d27373c8.sql,rbk_0178_ceb_10a_fc64416adca80a8f03d6e1e19d8088d3d27373c8,1,6,240062
10%-20%,high_variability,64,imdb/benchmarks/ceb/10a/fbe7221b2bc751d53062208b3ae25604d04fbdb9.sql,rbk_0177_ceb_10a_fbe7221b2bc751d53062208b3ae25604d04fbdb9,1,6,294614
10%-20%,high_variability,65,imdb/benchmarks/ceb/11b/fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15.sql,rbk_0223_ceb_11b_fff7b3029c1269dafc8a42b3a1cf7cc0e994fd15,12,11,112178
10%-20%,high_variability,66,imdb/benchmarks/job/9d.sql,rbk_0762_job_9d,4,7,425981
10%-20%,high_variability,67,imdb/benchmarks/job/9c.sql,rbk_0761_job_9c,4,7,309568
10%-20%,high_variability,68,imdb/benchmarks/ceb/11a/fe9f99ecc087c8840691c9b100708bfa43569855.sql,rbk_0217_ceb_11a_fe9f99ecc087c8840691c9b100708bfa43569855,7,9,381832
10%-20%,high_variability,69,imdb/benchmarks/ceb/11a/fdac0e602405ac158554ecf456acfebab3a248c0.sql,rbk_0216_ceb_11a_fdac0e602405ac158554ecf456acfebab3a248c0,7,9,77477
10%-20%,high_variability,70,imdb/benchmarks/ceb/10a/fb0913174b4e0f6b782a510736a2c65a9636ed12.sql,rbk_0176_ceb_10a_fb0913174b4e0f6b782a510736a2c65a9636ed12,1,6,146006
10%-20%,high_variability,71,imdb/benchmarks/ceb/10a/f957488dffe52b327c1beabc8cfff94d0243ce47.sql,rbk_0175_ceb_10a_f957488dffe52b327c1beabc8cfff94d0243ce47,1,6,82386
10%-20%,high_variability,72,imdb/benchmarks/ceb/10a/f940aa79e650ae4167d9194891d16ff0a53bdcd9.sql,rbk_0174_ceb_10a_f940aa79e650ae4167d9194891d16ff0a53bdcd9,1,6,348005
10%-20%,high_variability,73,imdb/benchmarks/ceb/10a/f957488dffe52b327c1beabc8cfff94d0243ce47.sql,rbk_0175_ceb_10a_f957488dffe52b327c1beabc8cfff94d0243ce47,1,6,84342
10%-20%,high_variability,74,imdb/benchmarks/ceb/10a/f8bc3ee18b967d17a31f74e33b0a6e4942f90250.sql,rbk_0173_ceb_10a_f8bc3ee18b967d17a31f74e33b0a6e4942f90250,1,6,369902
